Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0045202~synapse	26	21.487603305785125	4.2825281921589194E-13	66475, 20499, 15382, 19167, 76884, 67281, 68052, 19943, 19989, 268449, 20103, 76808, 267019, 20102, 22608, 20042, 78294, 110954, 56040, 27176, 11837, 16525, 20085, 269261, 27370, 67891	121	1042	30060	6.19882298821402	9.763256869632642E-11	1.9528328556244673E-11	1.7215763332478856E-11
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	67	55.371900826446286	1.6081751277750958E-12	20378, 15382, 14694, 66214, 259302, 226778, 12317, 11745, 246196, 24056, 14456, 19943, 19989, 268449, 20103, 76808, 20102, 19876, 18148, 18263, 20384, 22608, 67996, 406217, 21835, 27176, 11837, 13850, 269261, 27370, 66475, 22339, 22417, 16573, 19167, 14077, 665113, 68813, 20677, 13627, 76884, 67281, 68052, 11520, 18519, 69387, 55949, 217517, 18514, 72828, 17427, 267019, 17311, 68026, 19652, 20042, 13032, 12142, 78294, 110954, 56040, 208618, 20085, 19735, 67891, 14645, 17756	121	7472	30060	2.2276222414922047	3.6666003566665495E-10	6.111065485545364E-11	5.387386678046571E-11
KEGG_PATHWAY	mmu05171:Coronavirus disease - COVID-19	20	16.528925619834713	3.549766421744081E-12	268449, 66475, 20103, 76808, 267019, 20102, 20042, 78294, 110954, 56040, 27176, 11837, 67281, 20085, 68052, 19943, 269261, 27370, 67891, 19989	75	334	9718	7.758882235528942	5.32457411495102E-10	2.6623248163080607E-10	2.6623248163080607E-10
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	12	9.917355371900827	9.657410968409596E-12	268449, 27176, 76808, 11837, 20042, 67281, 67891, 19943, 269261, 110954, 19989, 56040	121	138	30060	21.602587136183974	2.201884008457E-9	3.1455567154248395E-10	2.7730565780718984E-10
GOTERM_CC_DIRECT	GO:0098793~presynapse	15	12.396694214876034	9.770337542609164E-11	268449, 20103, 267019, 20042, 665113, 78294, 110954, 27176, 67281, 16423, 19943, 269261, 27370, 67891, 19989	121	340	30060	10.960136120563927	2.2276375188923225E-8	2.7845461996436116E-9	2.4547973075805526E-9
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	9	7.43801652892562	3.909314046990764E-10	66475, 20103, 267019, 20102, 20042, 20085, 68052, 78294, 27370	121	70	30060	31.940968122786305	8.913235483021253E-8	9.903595585709936E-9	8.730801371612707E-9
GOTERM_CC_DIRECT	GO:0005829~cytosol	46	38.01652892561984	1.4125243869884011E-9	66475, 14694, 19167, 16573, 14077, 665113, 68813, 208677, 12317, 13627, 67281, 68052, 11520, 18519, 231861, 69387, 55949, 19943, 19989, 268449, 20720, 20103, 76808, 267019, 20102, 18148, 18263, 22608, 20384, 20042, 406217, 21835, 78294, 110954, 56040, 27176, 11858, 11837, 20085, 16007, 13850, 19735, 269261, 27370, 67891, 14645	121	4529	30060	2.5232432314067834	3.220555185867724E-7	3.220555602333555E-8	2.8391740178466864E-8
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	9	7.43801652892562	2.0061071914680544E-9	66475, 20103, 267019, 18148, 20102, 20042, 20085, 68052, 78294	117	88	29878	26.11713286713287	2.4815514918508086E-6	4.963109191691967E-7	4.910950404713797E-7
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	27	22.31404958677686	2.7115687391185863E-9	66475, 20335, 22339, 235293, 66212, 67305, 66913, 208677, 12317, 52377, 56334, 13167, 55949, 56615, 67397, 67695, 98238, 22608, 72043, 73130, 110954, 13418, 11837, 71949, 54326, 27370, 14645	121	1702	30060	3.941012518087617	6.182374840957294E-7	5.6203424774457966E-8	4.9547756051166894E-8
GOTERM_MF_DIRECT	GO:0005515~protein binding	49	40.49586776859504	3.164508038293513E-8	20378, 66212, 72931, 14694, 66214, 259302, 12317, 246196, 56334, 268449, 19876, 18148, 20384, 22608, 67996, 21835, 27176, 13418, 16525, 16403, 269261, 66475, 68895, 22339, 22417, 22418, 16573, 19167, 665113, 68813, 20677, 13627, 76884, 11520, 18519, 69387, 55949, 18514, 72828, 17427, 17311, 12142, 11858, 208618, 16423, 19735, 67891, 14645, 17756	119	5504	29205	2.1848815834473325	9.714992625364793E-6	4.857519838780542E-6	4.7309395172488015E-6
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	6	4.958677685950414	5.733752544306192E-8	66475, 20103, 18148, 20102, 14694, 20085	121	26	30060	57.32994278448824	1.3072870713948248E-5	1.0894129834181764E-6	9.604035511712872E-7
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	8	6.6115702479338845	6.577808143879495E-8	66475, 20103, 267019, 20102, 20042, 20085, 68052, 78294	121	88	30060	22.584522915101427	1.4997290597951185E-5	1.153646351388096E-6	1.0170303360921372E-6
GOTERM_CC_DIRECT	GO:0005730~nucleolus	18	14.87603305785124	2.0085936213931805E-7	66475, 20103, 267019, 68895, 18148, 20102, 20384, 66214, 20042, 12142, 78294, 27176, 246196, 13627, 20085, 68052, 19735, 269261	121	937	30060	4.772396517812255	4.579489054978847E-5	3.271138183411751E-6	2.883766556428781E-6
GOTERM_MF_DIRECT	GO:0003723~RNA binding	17	14.049586776859504	2.0280831314096103E-6	268449, 20103, 18148, 20102, 15382, 20384, 19652, 22608, 67996, 78294, 27176, 93838, 67281, 20085, 269261, 67891, 19989	119	975	29205	4.279120879120879	6.22428363763694E-4	2.0754050711425012E-4	2.0213228543049117E-4
GOTERM_CC_DIRECT	GO:0005634~nucleus	50	41.32231404958678	3.7603139472832556E-6	15382, 72931, 14694, 66214, 208677, 12317, 11745, 246196, 268449, 20103, 109205, 20102, 18148, 13170, 98238, 20384, 22608, 67996, 406217, 21835, 13418, 11837, 269261, 66475, 68895, 22339, 17263, 19167, 14077, 665113, 20677, 13627, 76884, 68052, 11520, 18519, 18514, 72828, 17427, 68026, 19652, 20042, 12142, 78294, 110954, 93838, 20085, 71949, 19735, 67891	121	6691	30060	1.8564471085496617	8.569857697143801E-4	5.715677199870548E-5	5.0388206893595625E-5
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	10	8.264462809917356	5.630899398589152E-6	20103, 12317, 15382, 13627, 22608, 20384, 67996, 68052, 27370, 19989	119	315	29205	7.791116446578632	0.0017271976567643232	4.3217152884171745E-4	4.2090973004453916E-4
GOTERM_BP_DIRECT	GO:0001822~kidney development	8	6.6115702479338845	7.660561984845048E-6	22339, 22417, 19876, 22418, 18263, 18552, 12142, 72043	117	183	29878	11.163607491476345	0.009431394235315027	0.0015793525292088872	0.0015627546449083897
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	7	5.785123966942149	8.163369374395518E-6	12317, 22417, 67397, 22418, 13418, 52377, 18552	121	118	30060	14.737358173413645	0.0018595247519725966	1.1632801358513612E-4	1.0255232776584369E-4
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)	10	8.264462809917356	1.6959168011092938E-5	68026, 13627, 11837, 22608, 68052, 208677, 78294, 269261, 110954, 56040	114	288	22187	6.757736354775828	0.007501655515464778	0.005009445035775989	0.005009445035775989
GOTERM_BP_DIRECT	GO:0003281~ventricular septum development	5	4.132231404958678	1.954877676370869E-5	268977, 19876, 22418, 12142, 16007	117	41	29878	31.142380654575778	0.023892029546003113	0.003435046036266553	0.003398946118342976
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	12	9.917355371900827	2.2215334106816835E-5	22339, 12317, 67397, 19876, 15382, 22418, 66214, 56334, 12142, 14456, 13850, 226778	117	598	29878	5.124431866906783	0.02710651503875583	0.003435046036266553	0.003398946118342976
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)	18	14.87603305785124	2.256506772872067E-5	268449, 66475, 76808, 109205, 18148, 20102, 15382, 22608, 67996, 16573, 110954, 27176, 68052, 231861, 19943, 269261, 55949, 67891	114	1049	22187	3.3395715217500377	0.009968980099653413	0.005009445035775989	0.005009445035775989
UP_KW_CELLULAR_COMPONENT	KW-0256~Endoplasmic reticulum	22	18.181818181818183	2.9222607515362854E-5	66475, 20335, 22339, 66212, 235293, 67397, 67695, 98238, 66913, 72043, 208677, 73130, 12317, 13418, 52377, 56334, 71949, 13167, 54326, 56615, 27370, 14645	112	1308	18500	2.778232852774137	9.346999996903138E-4	9.351234404916113E-4	8.766782254608856E-4
GOTERM_CC_DIRECT	GO:0030425~dendrite	12	9.917355371900827	5.407779797789926E-5	268977, 11745, 19876, 21366, 14694, 11837, 22608, 19652, 16525, 19943, 226778, 17756	121	641	30060	4.650790990317298	0.012254367468112148	7.252787022918254E-4	6.393904349151618E-4
GOTERM_BP_DIRECT	GO:0048706~embryonic skeletal system development	5	4.132231404958678	5.4532949169293224E-5	22418, 208618, 18552, 72043, 18514	117	53	29878	24.09127560070956	0.06523404591159088	0.007495250902490636	0.0074164810870238785
GOTERM_MF_DIRECT	GO:0019838~growth factor binding	5	4.132231404958678	6.851153949998903E-5	268977, 22339, 67281, 16007, 269275	119	54	29205	22.724089635854344	0.020814096401397086	0.0037687035764600025	0.0036704963171385694
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	4.132231404958678	7.365544449107497E-5	268449, 20103, 18148, 20102, 67281	119	55	29205	22.3109243697479	0.02235929549739568	0.0037687035764600025	0.0036704963171385694
GOTERM_CC_DIRECT	GO:0062023~collagen-containing extracellular matrix	9	7.43801652892562	7.960410240788938E-5	20720, 57875, 268977, 11745, 12317, 373864, 13032, 16007, 64074	121	347	30060	6.44342296425084	0.017986730297900988	0.0010083186304999322	8.889124768880981E-4
UP_KW_PTM	KW-1017~Isopeptide bond	27	22.31404958677686	1.0717280747713687E-4	66475, 15382, 16573, 208677, 13627, 68052, 231861, 55949, 19943, 268449, 20103, 76808, 109205, 68026, 20102, 18148, 22608, 67996, 12142, 78294, 110954, 56040, 27176, 11837, 16525, 269261, 67891	100	1594	13016	2.204717691342535	0.0019273541790405524	0.0017763237372188498	0.0016828330142073314
GOTERM_BP_DIRECT	GO:0010595~positive regulation of endothelial cell migration	5	4.132231404958678	1.0766576715394472E-4	11745, 22339, 12317, 22418, 64074	117	63	29878	20.267263600596934	0.124700988949483	0.013318255396942962	0.013178289899642833
GOTERM_CC_DIRECT	GO:0005576~extracellular region	20	16.528925619834713	1.7303771459921668E-4	20720, 268977, 218877, 373864, 20378, 17311, 22417, 22418, 674895, 67305, 22608, 18552, 23892, 72043, 57875, 12317, 14456, 16007, 69387, 64074	121	1887	30060	2.633065734670013	0.03868776142515107	0.0020764525751906003	0.0018305568754969765
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	9	7.43801652892562	1.737422066437833E-4	22339, 22417, 67397, 19876, 18148, 14694, 67996, 12142, 226778	117	400	29878	5.745769230769231	0.19340837689959056	0.01953810087439636	0.019332769175635523
UP_KW_PTM	KW-0007~Acetylation	42	34.710743801652896	1.8698144602303683E-4	66475, 20335, 66212, 15382, 14694, 19167, 16573, 14077, 68813, 20677, 12317, 11745, 13627, 76884, 67281, 68052, 14732, 11520, 13167, 55949, 56615, 19943, 217517, 19989, 268449, 20103, 68026, 20102, 18148, 98238, 22608, 20384, 20042, 67996, 78294, 56040, 27176, 20085, 13850, 269261, 67891, 14645	100	3220	13016	1.6977391304347826	0.0033603221637206193	0.0017763237372188498	0.0016828330142073314
GOTERM_CC_DIRECT	GO:0014069~postsynaptic density	8	6.6115702479338845	3.2693118887730863E-4	76808, 11837, 20085, 68052, 67891, 269261, 17756, 19989	121	323	30060	6.153058874702556	0.07184125415889431	0.0037270155532013183	0.0032856584482169517
GOTERM_MF_DIRECT	GO:0070180~large ribosomal subunit rRNA binding	3	2.479338842975207	4.4608959195938325E-4	268449, 11837, 269261	119	8	29205	92.0325630252101	0.12801238634056156	0.019564214961647234	0.019054398285122228
GOTERM_CC_DIRECT	GO:0009986~cell surface	12	9.917355371900827	4.60098046986506E-4	22339, 12317, 22417, 67397, 19876, 22418, 244864, 23892, 16403, 72043, 16423, 269275	121	821	30060	3.63112914103945	0.09960929644916172	0.004995350224424922	0.004403795592585129
GOTERM_BP_DIRECT	GO:0006417~regulation of translation	6	4.958677685950414	4.731686693232619E-4	13418, 14694, 19652, 19735, 110954, 56040	117	165	29878	9.286091686091686	0.44314375633971514	0.04834833015195796	0.0478402232061411
GOTERM_BP_DIRECT	GO:1900748~positive regulation of vascular endothelial growth factor signaling pathway	3	2.479338842975207	5.284858369168313E-4	22339, 19876, 64074	117	9	29878	85.12250712250712	0.4799913258666314	0.04834833015195796	0.0478402232061411
GOTERM_BP_DIRECT	GO:0001934~positive regulation of protein phosphorylation	7	5.785123966942149	5.471920954950779E-4	22339, 67397, 22418, 14694, 14456, 665113, 16007	117	260	29878	6.875279421433268	0.4918923175196548	0.04834833015195796	0.0478402232061411
GOTERM_BP_DIRECT	GO:0060976~coronary vasculature development	4	3.3057851239669422	6.28359487797635E-4	268977, 19876, 18552, 12142	117	43	29878	23.755118266746177	0.5404580261646896	0.051818712427044965	0.05127413420428701
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	10	8.264462809917356	7.761570648322285E-4	22339, 12317, 267019, 17311, 18148, 20102, 18263, 23892, 16423, 20677	117	627	29878	4.072847230741968	0.617290505935135	0.060006643074841666	0.059376015459665483
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	8	6.6115702479338845	9.371557685657599E-4	57875, 268977, 22339, 12317, 373864, 22417, 22418, 64074	112	258	18500	5.121816168327796	0.029557421991867505	0.010796429876535419	0.010121653009251955
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	49	40.49586776859504	0.0010121653009251956	15382, 14694, 66214, 226778, 12317, 246196, 19943, 19989, 268449, 20103, 76808, 20102, 18148, 22608, 406217, 21835, 27176, 11837, 13850, 269261, 27370, 66475, 22339, 16573, 19167, 14077, 665113, 68813, 13627, 76884, 67281, 68052, 18519, 217517, 72828, 17427, 267019, 17311, 68026, 19652, 12142, 78294, 110954, 208618, 20085, 19735, 67891, 14645, 17756	112	5382	18500	1.5038554440728353	0.03188625394746758	0.010796429876535419	0.010121653009251955
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	13	10.743801652892563	0.0012442555207905375	66212, 235293, 67695, 98238, 66913, 208677, 73130, 12317, 13418, 56334, 71949, 54326, 56615	121	1074	30060	3.007064038044231	0.24713315302329586	0.012895011760920116	0.011367970894495366
GOTERM_CC_DIRECT	GO:0005615~extracellular space	19	15.702479338842975	0.0013299108001625193	20720, 22339, 373864, 20378, 17311, 22417, 22418, 223917, 13032, 18552, 14077, 23892, 72043, 57875, 12317, 14456, 16007, 13167, 64074	121	2055	30060	2.2969174156964467	0.2617121346100961	0.013183463584219755	0.011622263949246365
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	3	2.479338842975207	0.0016039306700548093	18148, 19652, 67891	121	15	30060	49.685950413223146	0.3064901128308297	0.015237341365520688	0.013432919361709029
GOTERM_BP_DIRECT	GO:0043406~positive regulation of MAP kinase activity	4	3.3057851239669422	0.0019111594424737295	17311, 67397, 19876, 674895	117	63	29878	16.213810880477546	0.9061789657950979	0.13444506982454543	0.13303214669785252
GOTERM_BP_DIRECT	GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway	3	2.479338842975207	0.0019563550984978313	22417, 22418, 72043	117	17	29878	45.06485671191553	0.9112899017979488	0.13444506982454543	0.13303214669785252
GOTERM_BP_DIRECT	GO:0055091~phospholipid homeostasis	3	2.479338842975207	0.002195325515947064	52377, 14077, 14732	117	18	29878	42.56125356125356	0.9340331453513153	0.14292724543297464	0.14142518060627401
GOTERM_BP_DIRECT	GO:0000027~ribosomal large subunit assembly	3	2.479338842975207	0.002712436087472209	268449, 11837, 110954	117	20	29878	38.3051282051282	0.965259258757673	0.1597754019144344	0.1580962748126659
GOTERM_BP_DIRECT	GO:0002042~cell migration involved in sprouting angiogenesis	3	2.479338842975207	0.002712436087472209	22339, 19876, 23892	117	20	29878	38.3051282051282	0.965259258757673	0.1597754019144344	0.1580962748126659
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	18	14.87603305785124	0.0036755126197159675	22339, 19876, 18148, 15382, 13032, 16573, 208677, 21835, 57875, 13627, 16525, 20085, 13167, 56615, 72828, 14645, 17427, 19989	119	2053	29205	2.1517598758938545	0.6771156796966507	0.14104779678160026	0.1373722841618843
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	13	10.743801652892563	0.0037500212725955985	22339, 18148, 13170, 22418, 22608, 66214, 23892, 208677, 20677, 16007, 16403, 18519, 18514	117	1264	29878	2.6264064697609	0.9904144246191076	0.20298610746478699	0.20085286623839874
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	5	4.132231404958678	0.003806478471391331	11745, 22339, 22418, 23892, 64074	117	163	29878	7.833359551150963	0.9910633840842024	0.20298610746478699	0.20085286623839874
GOTERM_CC_DIRECT	GO:0031672~A band	3	2.479338842975207	0.00411827682724417	18519, 67891, 19989	121	24	30060	31.053719008264466	0.6097258759866078	0.037558684664466824	0.03311094569104312
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	9	7.43801652892562	0.004168860516910739	57875, 22339, 17311, 18148, 22418, 23892, 14456, 16007, 110954	117	657	29878	3.4981852242126217	0.994302111351469	0.20298610746478699	0.20085286623839874
GOTERM_BP_DIRECT	GO:2000573~positive regulation of DNA biosynthetic process	3	2.479338842975207	0.004228915194454907	22339, 66214, 64074	117	25	29878	30.644102564102564	0.9947117106630112	0.20298610746478699	0.20085286623839874
GOTERM_MF_DIRECT	GO:0043022~ribosome binding	4	3.3057851239669422	0.004362367196191922	20335, 66212, 13418, 14694	119	81	29205	12.119514472455649	0.7387235914679722	0.14843550528000668	0.14456747908378503
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell population proliferation	7	5.785123966942149	0.004452266018738596	20720, 20378, 19876, 18148, 66214, 18519, 20677	117	394	29878	4.536986420235151	0.9959931500740904	0.20298610746478699	0.20085286623839874
GOTERM_BP_DIRECT	GO:0009267~cellular response to starvation	4	3.3057851239669422	0.00461736122211347	57875, 22417, 14456, 14645	117	86	29878	11.877559133373088	0.9967363301605171	0.20298610746478699	0.20085286623839874
GOTERM_BP_DIRECT	GO:0045727~positive regulation of translation	4	3.3057851239669422	0.004768890656233321	18148, 20102, 19652, 20677	117	87	29878	11.741035465173397	0.9972965559531907	0.20298610746478699	0.20085286623839874
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	4	3.3057851239669422	0.004768890656233321	20499, 14694, 14456, 20677	117	87	29878	11.741035465173397	0.9972965559531907	0.20298610746478699	0.20085286623839874
GOTERM_BP_DIRECT	GO:0022409~positive regulation of cell-cell adhesion	3	2.479338842975207	0.004922864368588205	22418, 16403, 16423	117	27	29878	28.374169040835707	0.9977674742146327	0.20298610746478699	0.20085286623839874
GOTERM_MF_DIRECT	GO:0048018~receptor ligand activity	4	3.3057851239669422	0.0051568491755067105	22339, 22417, 23892, 14456	119	86	29205	11.414891538010552	0.7955125807322557	0.14843550528000668	0.14456747908378503
GOTERM_MF_DIRECT	GO:0005539~glycosaminoglycan binding	3	2.479338842975207	0.0053185360198048	20720, 72043, 64074	119	27	29205	27.26890756302521	0.8054659453234971	0.14843550528000668	0.14456747908378503
UP_KW_PTM	KW-0832~Ubl conjugation	30	24.793388429752067	0.005431748020590108	66475, 15382, 16573, 208677, 13627, 68052, 231861, 55949, 19943, 268449, 20103, 76808, 109205, 68026, 20102, 19876, 18148, 22608, 406217, 67996, 12142, 78294, 110954, 56040, 27176, 11837, 16525, 269261, 67891, 14645	100	2395	13016	1.6303966597077244	0.09338551636417591	0.03440107079707068	0.03259048812354065
GOTERM_BP_DIRECT	GO:0035567~non-canonical Wnt signaling pathway	3	2.479338842975207	0.005665537816623811	20378, 22417, 22418	117	29	29878	26.41732979664014	0.9991134724839408	0.2260732348117308	0.22369736411443694
UP_SEQ_FEATURE	TOPO_DOM:Lumenal	10	8.264462809917356	0.005685328800313713	13418, 67695, 98238, 56334, 66913, 71949, 208677, 77590, 73130, 56615	114	644	22187	3.0220932766699358	0.9204595036701716	0.8414286624464294	0.8414286624464294
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	6	4.958677685950414	0.005887892664734604	57875, 22339, 373864, 23892, 16423, 14645	117	294	29878	5.211582068724925	0.999327729303738	0.22760385082114704	0.2252118944260986
GOTERM_CC_DIRECT	GO:0005790~smooth endoplasmic reticulum	3	2.479338842975207	0.0059797595092843025	12317, 67397, 110954	121	29	30060	25.699629524080937	0.7452513355503605	0.052437891081416194	0.0462281408217748
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	5	4.132231404958678	0.006288368465193153	20720, 22418, 16403, 18519, 19735	117	188	29878	6.791689398072377	0.9995916036925121	0.23571853913466456	0.23324130307261878
GOTERM_BP_DIRECT	GO:0008283~cell population proliferation	6	4.958677685950414	0.006759156574573467	22339, 17311, 22418, 18263, 18514, 14645	117	304	29878	5.040148448043184	0.9997727503973786	0.24591402008080523	0.2433296366846448
GOTERM_BP_DIRECT	GO:0030148~sphingolipid biosynthetic process	3	2.479338842975207	0.007730269848382273	235293, 71949, 54326	117	34	29878	22.532428355957766	0.999932237061019	0.2732098229271106	0.2703385798405686
GOTERM_BP_DIRECT	GO:0017148~negative regulation of translation	4	3.3057851239669422	0.008230721370033564	12317, 14694, 22608, 19735	117	106	29878	9.636510240283826	0.9999636942279087	0.28281673152032	0.2798445265811412
GOTERM_CC_DIRECT	GO:0005791~rough endoplasmic reticulum	3	2.479338842975207	0.008627952196416643	66475, 67891, 27370	121	35	30060	21.293978748524204	0.8613369749966856	0.07285826299196277	0.06423031079554611
GOTERM_BP_DIRECT	GO:0007411~axon guidance	5	4.132231404958678	0.008911687037617426	218877, 19876, 22418, 76884, 16573	117	208	29878	6.138642340565418	0.9999844767365969	0.29648731644893334	0.293371443276875
GOTERM_BP_DIRECT	GO:0032967~positive regulation of collagen biosynthetic process	3	2.479338842975207	0.009107936964478145	268977, 22417, 66214	117	37	29878	20.705474705474707	0.9999878494858591	0.29648731644893334	0.293371443276875
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	8	6.6115702479338845	0.009761739535965697	20499, 11858, 18148, 13627, 66214, 20085, 18519, 17756	119	585	29205	3.3561732385261798	0.9507860021034835	0.24973783646178907	0.24323001010447864
GOTERM_BP_DIRECT	GO:0045879~negative regulation of smoothened signaling pathway	3	2.479338842975207	0.010082656865916426	20720, 14694, 56334	117	39	29878	19.643655489809337	0.9999964034988901	0.31980119341381075	0.31644030779183857
GOTERM_BP_DIRECT	GO:0035904~aorta development	3	2.479338842975207	0.010586621301859035	268977, 19876, 12142	117	40	29878	19.1525641025641	0.9999980843681714	0.32739126375999067	0.3239506118368865
GOTERM_MF_DIRECT	GO:0035198~miRNA binding	3	2.479338842975207	0.010879643593976987	15382, 22608, 20677	119	39	29205	18.87847446670976	0.9652074756082647	0.2569269679500719	0.2502318026614707
